bank,swiftcode
LATVIJAS PASTA BANKA,LAPBLV2XXXX
HONEST BROKERAGE,HOBREGCAXXX
AZIZI BANK,AZBAAFKAXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX440
ALAHRAM SECURITIES BROKERAGE CO.,AHSCEGCAXXX
BANQUE NEUFLIZE OBC,NSMBFRPPXXX
CAISSE D'EPARGNE D'ALSACE,CEPAFRPP670
SETO SHINKIN BANK  THE,SSBKJPJZXXX
AL SALAM BANK ALGERIA,SALGDZALXXX
PHILIPPINE NATIONAL BANK TOKYO BRANCH,PNBMJPJTXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX018
DAIWA SECURITIES CO.LTD.,DAREJPJTXXX
ALSYON TECHNOLOGIES,ALSYFRPPXXX
BANCO SANTANDER S.A. NEW YORK,BSCHUS33XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL094
ARAB INVESTMENT BANK,AINBEGCAHEL
HSBC FRANCE,LUBPFRPPXXX
BANQUE PELLETIER,BPELFR2YXXX
CENTRAL PACIFIC BANK,CEPBUS77XXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM008
BLOM BANK EGYPT S.A.E.,MRBAEGCX021
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL101
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CFD
CREDIT SUISSE AG  PARIS BRANCH,CRESFRPZXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA096
MISR IRAN DEVELOPMENT BANK,MIDBEGCXRAM
ARAB BANK PLC,ARABQAQASAD
ASIAN-PACIFIC BANK,ASANRU8XXXX
ARAB INTERNATIONAL BANK,ARIBEGCX006
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX718
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTFGN
CHELINDBANK,CHLBRU4CXXX
LA COMPAGNIE FINANCIERE ED. DE ROTHSCHILD BANQUE,COFIFRCPXXX
SIGMA SECURITIES BROKERAGE,SIGMEGCAXXX
BANK OF FUKUOKA  LTD.  THE,FKBKJPJT100
DEUTSCHE SECURITIES INC.,DEUTJPJ7XXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44DFP
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXXXX
BANCO DE CREDITO DEL PERU - MIAMI AGENCY,BCPLUS33XXX
HSBC FRANCE,CCFRFRPP224
TASWEEQ,TSWQQAQBXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX465
CATERPILLAR INC.,CTPLUS44XXX
BANCO BILBAO VIZCAYA ARGENTARIA  NEW YORK,BBVAUS33GCI
SUEZ CANAL BANK,SUCAEGCXMEN
ALWATANY BANK OF EGYPT,WABAEGCXROX
CJSC BANK CREDIT SUISSE (MOSCOW),CRESRUMML21
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CGA
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXDOM
BANK NATIONAL CLEARING CENTRE,NCCBRUMMXXX
THE NOMURA TRUST AND BANKING CO.  LTD.,NMTBJPJTITA
BAC FLORIDA BANK,BFLBUS3MXXX
NATIONAL BANK OF ABU DHABI,NBADEGCAMAD
AXA BANQUE SA,AXABFRPPXXX
CREDIT MUTUEL - CIC BANQUES,CMCIFRPAXXX
ROYAL BANK OF SCOTLAND PLC,RBOSJPJXXXX
DEUTSCHE BANK  HO CHI MINH CITY BRANCH,DEUTVNVXXXX
BANK MOSKVA,RJSCRUMMXXX
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2AAVI
BNP PARIBAS ASSET MANAGEMENT,PARBFRPMXXX
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2AORA
CAISSE D'EPARGNE DES PAYS DE L'ADOUR,CEPAFRPP648
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX650
DVE STOLITCY KB,DVSORUMMXXX
EGYPTIAN GULF BANK,EGGBEGCAMER
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CCL
CJSC -NOMOS-BANK-SIBERIA',NOVORU52XXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM005
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXOPR
ISBANK GMBH,ISBKFRPPXXX
BONNA SABLA SA,BONAFRPPXXX
BANK OF AMERICA  N.A. PARIS,BOFAFRPPXXX
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXHED
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA093
NORINCHUKIN BANK  THE,NOCUJPJTXXX
ALCATEL-LUCENT,ATELFRPPXXX
MISR IRAN DEVELOPMENT BANK,MIDBEGCXHLP
NATIONAL BANK OF ABU DHABI,NBADEGCATHB
DEAL-BANK OOO,DEOORUMMXXX
UNION TUNISIENNE DE BANQUES,UTUBFRPPBEL
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPPDVP
NORVIK BANKA  JSC,LATBLV22XXX
ECONOMIC UNION BANK,COEIRUMMXXX
BANCO INDUSTRIAL DE VENEZUELA  C.A. MIAMI AGENCY,INDSUS3MXXX
SCHRODER INVESTMENT MANAGEMENT (JAPAN) LIMITED,SIMJJPJTXXX
COMPAGNIE DE FINANCEMENT FONCIER,CFFOFRPPXXX
CREDIT SUISSE SECURITIES (JAPAN) LTD.,CSFBJPJXEQT
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX016
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL095
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCXSMK
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL013
NATIXIS SECURITIES,IXIRFRPPXXX
GIRAUD INTERNATIONAL,JIROFRPPXXX
LUXOR SECURITIES BROKERAGE,LUXOEGCAXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZALDOE
CHOLET DUPONT SA,CHDUFRPPXXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXALE
FIDELITY SERVICE CO,FIDQUS3AXXX
ALWATANY BANK OF EGYPT,WABAEGCXHAR
INTERNATIONAL BANK OF QATAR (Q.S.C.),IBOQQAQAXXX
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXMOH
HSBC FRANCE,CCFRFRPP310
THE NOMURA TRUST AND BANKING CO.  LTD.,NMTBJPJTTAD
FDI FRANCE,FDFRFR22XXX
UNION NATIONAL BANK-EGYPT S.A.E.,ALECEGALSUZ
RABOBANK NEDERLAND  TOKYO BRANCH,RABOJPJTXXX
BANESCO USA,BBUBUS33XXX
CANTOR FITZGERALD AND CO.,CANFUS33CPB
BLOM BANK EGYPT S.A.E.,MRBAEGCX007
PUBLICIS FINANCE SERVICES SA,PUBGFRPPXXX
CHARLES SCHWAB AND CO.  INC.,CSCHUS6SXXX
NATIONAL BANK OF PAKISTAN,NBPAFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL083
HSBC FRANCE,CCFRFRPP040
BRATSKY NARODNY BANK JSC,BRATRU6BXXX
BFG-CREDIT BANK,BFGBRUMMXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CDT
ARAB BANK PLC,ARABEGCXSAW
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL104
HABIB BANK LIMITED,HABBAFKAXXX
BANQUE AL-BARAKA D'ALGERIE,BRKADZALXXX
GENERAL ELECTRIC COMPANY,GENEUS33DEL
OPTIMA SECURITIES BROKERAGE,OPSBEGCAXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX009
SUMITOMO TRUST AND BANKING COMPANY  LTD.  THE,STBCJPJTSAD
CIB FINANCE,CIBRFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CAA
BANK TEJARAT,BTEJFRPPXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAMAD
BRED BANQUE POPULAIRE,BREDFRPPTRE
GE MONEY BANK,BATRLV2XXXX
NATIXIS,CCBPFRPP933
DOHA BANK,DOHBQAQAUSB
LA BANQUE POSTALE,PSSTFRPPROU
NATIONAL BANK OF ABU DHABI,NBADEGCAXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXMRG
EGYPTIAN GULF BANK,EGGBEGCAXXX
MEGA INTERNATIONAL COMMERCIAL BANK CO. LTD.,ICBCFRPPXXX
MISR IRAN DEVELOPMENT BANK,MIDBEGCXNSR
BANQUE EXTERIEURE D'ALGERIE,BEXADZALDTD
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL015
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CCO
ALFA-BANK,ALFARUMMXXX
GROUPAMA ASSET MANAGEMENT,GPAMFRPPXXX
GENERAL MOTORS HOLDINGS LLC,GMCOUS33XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL036
EGYPTIAN GULF BANK,EGGBEGCARAM
SOCIETE GENERALE PRIVATE BANKING (JAPAN) LTD.,SGTBJPJTXXX
NORTH PACIFIC BANK  LTD.,NORPJPJPXXX
BANCO DE CREDITO E INVERSIONES  MIAMI BRANCH,CREDUS3MXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX480
GOLDMAN  SACHS AND CO.,GOLDUS33003
HUA NAN COMMERCIAL BANK  LTD. HOCHIMINH CITY BRANCH,HNBKVNVXXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA055
EGYPTIAN ARAB LAND BANK,ARLBEGCAMAT
ABU DHABI INTERNATIONAL BANK INC.,ADIBUS33XXX
BANK NEGARA INDONESIA (PERSERO) PT.  NEW YORK AGENCY,BNINUS33XXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXHEL
BANQUE MISR,BMISEGCXNIL
BROWN BROTHERS HARRIMAN SECURITIES INVESTMENT MANAGEMENT (JAPAN) INC.,BBHCJPJTXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXSUZ
BANK OF THE RYUKYUS  LTD.,RYUBJPJZXXX
OKAZAKI SHINKIN BANK  THE,OKSBJPJZXXX
THE NOMURA TRUST AND BANKING CO.  LTD.,NMTBJPJTTRU
BARCLAYS BANK - EGYPT S.A.E.,BCBIEGCXXXX
CB RABOBANK (CLOSED JOINT-STOCK COMPANY),RABORUMMXXX
BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,BROUUS33XXX
BANQUE MICHEL INCHAUSPE - BAMI,BAMYFR22BDX
AIB BANK,AIBKUS3TTMK
EGYPT STOCKS,EGSTEGCAXXX
PHAROS SECURITIES,PHAREGCAXXX
FULTON BANK  N.A.,FLBKUS33GEG
GOLDMAN  SACHS AND CO.,GOLDUS33005
SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED,SMBCFRPPGEB
ADP GLOBAL PROXY SERVICES,ADPGUS33XXX
AN BINH COMMERCIAL JOINT STOCK BANK,ABBKVNVXXXX
PAREL,PAREFRPPCCL
AUERBANK,AUERRUMMXXX
INTERCAPITAL SECURITIES,INCUEGC1XXX
ELECTRICITE DE FRANCE,EDFGFRPPXXX
CHINFON COMMERCIAL BANK,CFCBVNVXHCM
ETS J SOUFFLET,SOUFFR22XXX
WESTLB AG PARIS,WELAFRPPXXX
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2AXXX
MISR IRAN DEVELOPMENT BANK,MIDBEGCXALX
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCX002
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXTNT
JPMORGAN CHASE BANK  N.A.,CHASFRPPXXX
ARAB INVESTMENT BANK,AINBEGCAPSD
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL006
MASHREQ BANK,MSHQEGCARBG
CAISSE DES DEPOTS ET CONSIGNATIONS,CDCGFRPPXXX
ARAB BANK PLC,ARABEGCXNSR
CPRPSNCF,CPRPFR22XXX
EGYPTIAN GULF BANK,EGGBEGCAAZH
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXDMT
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44OFD
SUEZ CANAL BANK,SUCAEGCXAMR
HSBC FRANCE,CCFRFRPPXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX016
SUEZ CANAL BANK,SUCAEGCXDOM
SUMITOMO MITSUI BANKING CORPORATION,SMBCJPJTCLS
BANCO BILBAO VIZCAYA ARGENTARIA TOKYO BRANCH,BBVAJPJTXXX
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,AGIGUS3WXXX
NATIONAL BANK OF ABU DHABI,NBADEGCADMT
CAISSE NATIONALE DES CAISSES D'EPARGNE ET DE PREVOYANCE,CEPAFRPPXXX
ARAB INVESTMENT BANK,AINBEGCACAI
DOHA BANK,DOHBQAQADKB
BNP PARIBAS VOSTOK,BNPARUMVXXX
GENERAL ELECTRIC COMPANY,GENEUS33TKO
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX670
CAP GEMINI SERVICE SAS,CAPGFRPPXXX
KBC BANK NV PARIS,KREDFRPP416
AMB PROPERTY  L.P.,AMBCUS6LXXX
PPR FINANCE,PPRFFRPPXXX
ATB BANK,ATBTRUMMXXX
FIRST CITIZENS BANK AND TRUST CO.,FCBTUS33XXX
CAISSE D'EPARGNE PROVENCE ALPES CORSE,CEPAFRPP131
STANDARD CHARTERED BANK,SCBLQAQXXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX015
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAMAN
CHELINDBANK,CHLBRU4C746
DORIS BANK,DORIRUMMXXX
BNP PARIBAS ARBITRAGE,BNABFRPPMOR
BANK HAPOALIM B.M.,POALUS33CHG
BARCLAYS BANK LLC,BARCRUMMXXX
EUROCLEAR FRANCE,SICVFRPPAF1
BANQUE DE GESTION PRIVEE-SIB,SIBLFRPPOES
BANQUE DE REALISATIONS DE GESTION ET DE FINANCEMENT,RGFIFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44RLP
CAISSE DES DEPOTS ET CONSIGNATIONS,CDCGFRPPPAC
SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED,SMBCFRPPXXX
AIRBUS SAS,AIRBFR22XXX
VIVENDI,VIVEFRPPXXX
ALWATANY BANK OF EGYPT,WABAEGCXNCT
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXRAM
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXHEL
GAZ DE FRANCE,GDFGFRPPXXX
SAN-IN GODO BANK  LTD.  THE,SGBKJPJTMAT
PAREL,PAREFRPPGDU
BANQUE D'ESCOMPTE,ESCBFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44FDC
HALWAN BROKERAGE CO.,HELWEGCAXXX
TYCOON FOR SECURITIES,TYCOEGCAXXX
BANK24.RU OAO,URALRU4EXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAEZZ
BANQUE MISR,BMISEGCX373
BANK LEUMI USA,LUMIUS3NCHI
ALSTOM HOLDINGS,ALHOFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44PPC
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL010
COMMERZBANK (EURASIJA) SAO,COBARUMMXXX
SHINSEI BANK  LTD.,LTCBJPJTHED
CATHAY BANK,CATHUS6LXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXOBR
METRO CO. FOR BOOK KEEPING AND STOCK DEALING,MTROEGCAXXX
INDOVINA BANK LTD.,IABBVNVXXXX
QATAR CENTRAL BANK,QMAGQAQAXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXGHM
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX750
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2ASTP
QATAR INTERNATIONAL ISLAMIC BANK,QIIBQAQAXXX
HSBC FRANCE,CCFRFRPPNTX
ODDO ET CIE,ODDOFRPPBKO
ALGERIA GULF BANK,AGUBDZALXXX
BANQUE MISR,BMISEGCXGDR
CREDIT MUTUEL ARKEA,CMBRFR2BXXX
CAISSE D'EPARGNE D'ILE DE FRANCE OUEST,CEPAFRPP786
SINOPIA ASSET MANAGEMENT,SAMFFRPPXXX
SHINKIN CENTRAL BANK,ZENBJPJ2XXX
BCS BANK,BCSBRU55XXX
CAPITAL KREDIT LTD,CINGRUMMXXX
DLALA BROKERAGE LLC,DLBOQAQAXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCASHR
DOHA BANK,DOHBQAQADIS
FIRST NATIONS BANK,FNBWUS44XXX
ARAB BANK PLC,ARABEGCXHRM
KABUL BANK,KABUAFKAXXX
BANQUE MISR,BMISEGCX140
FIRST NATIONAL BANK,FNBOUS44FTC
NATIXIS,CCBPFRPP922
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL018
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXNIL
BANQUE CHAIX,CHAIFR2AXXX
BANQUE DE GESTION PRIVEE-SIB,SIBLFRPPTRS
BANK LEUMI USA,LUMIUS3NXXX
ACUPAY SYSTEM LLC,ACPYUS33XXX
CB -ROSPROMBANK' CO. LTD,TERARUMMXXX
MASHREQ TRADE,GSTHEGCAXXX
CANTOR FITZGERALD AND CO.,CANFUS33ITD
INTER PARFUMS S.A,IPARFRPPXXX
SG ASSET MANAGEMENT,SGAMFRPPXXX
BANQUE MISR,BMISEGCX401
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CCD
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CGM
DEXIA BANK CJSC,IKBARUMMXXX
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTSMO
NATIONAL BANK OF ABU DHABI,NBADEGCAMNS
LATVIAN CENTRAL DEPOSITORY THE,LCDELV22XXX
CREDIT-MOSCOW BANK,CRMORUMMXXX
OSOOL ESB FOR SECURITIES BROKERAGE,OSOLEGCAXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXZAG
BANQUE FRANCAISE COMMERCIALE DE L'OCEAN INDIEN,BFCOFRPPXXX
CITIBANK CAIRO,CITIEGCXXXX
LA BANQUE POSTALE,PSSTFRPPFDF
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX140
CHANG HWA COMMERCIAL BANK  LTD.  LOS ANGELES BRANCH,CCBCUS6LXXX
PHARAONIC BROKERAGE CO.,PHBREGCAXXX
UNION TUNISIENNE DE BANQUES,UTUBFRPPXXX
AS UNICREDIT BANK,VBRILV2XXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX310
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAASH
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL016
DECATHLON SA,OXYLFR22XXX
EVROFINANCE MOSNARBANK,EVRFRUMMXXX
LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA,LOCYFRPPNDP
ARAB BANK PLC,ARABEGCXDKI
VINCI HOLDING,VINCFRPPXXX
ABN AMRO CAPITAL USA LLC,FTSBUS33XXX
ABERCROMBIE AND FITCH CO.,ANFCUS33XXX
ALEF-BANK,ALEFRUMMXXX
NEW BRENT FOR SECURITIES BROKERAGE,NEWPEGCAXXX
NATIONAL BANK OF ABU DHABI,NBADEGCAAKD
THE HAMAMATSU SHINKIN BANK,HMSKJPJTXXX
NATIXIS,CCBPFRPP905
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCAASA
MULTI ACCES BANQUE,CCBPFRPPMAB
HSBC BANK (VIETNAM) LTD.,HSBCVNVX003
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXHLC
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCADOK
GOLDMAN  SACHS AND CO.,GOLDUS33NET
DAIWA SB INVESTMENTS LTD,DSBIJPJTXXX
DEPFA BANK PLC,DPFAJPJTXXX
BANQUE POP CENTRE ATLANTIQUE,CCBPFRPPNIO
NATIXIS,CCBPFRPP927
BANK POLSKA KASA OPIEKI S.A.  SUCCURSALE DE PARIS,PKOPFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CTO
CAPITAL SECURITIES BROKERAGE,YMACEGCAXXX
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKFRPXXXX
ARAB BANKING CORPORATION,ABCOUS33XXX
BANQUE REVILLON,REVIFRPPXXX
BANK HAPOALIM B.M.,POALUS33MIA
GIE AXA FRANCE,AXAFFRPPXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX034
BANK OF THE DEVELOPMENT OF TECHNOLOGIES (COMMERCIAL BANK),BDTBRUMMXXX
EUROPEENE DE GESTION PRIVEE,EUGPFR22TOL
FIRST NATIONAL BANK,FNBOUS44WMG
AMUNDI ASSET MANAGEMENT,AGRIFRPIXXX
HSBC FRANCE,CCFRFRPP030
STANDARD FOR SECURITIES,STSCEGCAXXX
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPPOTC
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CXH
JPMORGAN CHASE BANK  N.A.,CHASFRPPKEY
SOCIETE GENERALE SECURITIES (NORTH PACIFIC) LTD.,SGNPJPJTXXX
CHELYABINVESTBANK,CHINRU4CTRK
RASGAS COMPANY LIMITED,RLNGQAQAXXX
DAIWA NEXT BANK  LTD.,DNEXJPJTXXX
UNITED BANK LIMITED  DOHA,UNILQAQAXXX
ABC INTERNATIONAL BANK PARIS BRANCH,ABCOFRPPXXX
STATE STREET TRUST AND BANKING COMPANY LIMITED,SSTBJPJXXXX
CELGENE CORPORATION,CELGUS3SXXX
SUEZ CANAL BANK,SUCAEGCXISM
BRED BANQUE POPULAIRE,BREDFRPP638
NATIONAL BANK OF ABU DHABI,NBADEGCAALX
BANK OF SAGA  LTD.  THE,BKSGJPJTXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL054
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL082
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXALX
LA BANQUE POSTALE,PSSTFRPPGRE
BANQUE POPULAIRE COTE D'AZUR,CCBPFRPPNCE
HSBC FRANCE,CCFRFRPP089
ARAB BANKING CORPORATION EGYPT,EAABEGCX003
CJSC UNICREDIT SECURITIES,UCSRRUMMXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL027
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,BACPFRPPAMS
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX760
STATE STREET TRUST AND BANKING COMPANY LIMITED,SSTBJPJXITM
BLOM BANK EGYPT S.A.E.,MRBAEGCX010
BUSINESS DEVELOPMENT BANK,BDBMRUMMXXX
AMAN SECURITIES COMPANY,AMSOEGCAXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCAHOL
BANK OF MOSCOW,MOSWRUMMXXX
REGIONALA INVESTICIJU BANKA,RIBRLV22XXX
BANQUE POPULAIRE DU SUD-OUEST,CCBPFRPPBDX
DONGA BANK,EACBVNVXXXX
BNP-PARIBAS SA,BNPAFRPHXXX
FREDDIE MAC,FMACUS33XXX
LA BANQUE POSTALE,PSSTFRPPCLE
BNP PARIBAS ARBITRAGE,BNABFRPPFND
ORBEO,ORBEFRPPXXX
GOLDMAN  SACHS AND CO.,GOLDUS33GSS
ATLANTIC CENTRAL BANKERS BANK,ATLCUS33XXX
BELTONE SECURITIES BROKERAGE S.A.E,BELTEGCAXXX
SAN-IN GODO BANK  LTD.  THE,SGBKJPJTXXX
GOLDMAN  SACHS AND CO.,GOLDUS33001
THE ROYAL BANK OF SCOTLAND N.V. (FRANCE),ABNAFRPPXXX
CHUVASHCREDITPROMBANK OAO,CHVARU2CXXX
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXDOK
BOX AND AUTOMATION SOLUTION,BOXXFRPPXXX
BANQUE SOCIETE GENERALE VOSTOK,SOGERUMMSPB
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44RI2
CREDIT FONCIER DE FRANCE,CFFRFRPPSSS
ARABEYA ON LINE,AOLBEGCAXXX
LAZARD FRERES BANQUE,LAZPFRPPXXX
RESONA BANK  LTD.  TOKYO,DIWAJPJTXXX
CREDIT AGRICOLE CIB,BSUIFRPPCAP
BANQUE MISR,BMISEGCX388
CREDIT FONCIER DE FRANCE,CFFRFRPPXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXOCT
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL029
NOMURA ASSET MANAGEMENT CO.  LTD.,NAMKJPJTXXX
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX083
BANCO DO BRASIL S.A.,BRASFRPPXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX015
OSAKA CITY SHINKIN BANK  THE,OSACJPJSXXX
JAZIRA SECURITIES BROKERAGE,JAZIEGCAXXX
ASHIKAGA BANK,ASIKJPJTXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44FLC
ELECTRICITE DE FRANCE,EDFGFRPP001
AKITA BANK  LTD. THE,AKITJPJTXXX
HANOI BUILDING COMMERCIAL JOINT STOCK BANK,HBBHVNVNTC3
EUROTRUST CB ZAO,CEURRUMMXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX020
BANK OF INDIA,BKIDJPJTXXX
ALLY FINANCIAL INC,ALYIUS33XXX
HSBC FRANCE,CCFRFRPP220
FIRST NATIONAL BANK,FNBOUS44CAS
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX561
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTNGY
BANQUE DUPUY  DE PARSEVAL,BDUPFR2SXXX
UNION NATIONAL BANK-EGYPT S.A.E.,ALECEGALSDZ
FACTOBAIL,FACIFRPPXXX
BNP PARIBAS FINAMS,FAMSFRPPXXX
PANASONIC CORPORATION,PANAJPJSXXX
CREDIT URAL BANK OAO,CRDURU4CXXX
SG ASSET MANAGEMENT,SGAMFRPPNEG
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTSAD
LA BANQUE POSTALE,PSSTFRPPNTE
ABE CLEARING SAS/EBA CLEARING,EBAPFRPPCOL
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX311
BANQUE SOCIETE GENERALE VOSTOK,SOGERUMMXXX
BANQUE PRIVEE 1818,CCBPFRPPBPS
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXHLP
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL074
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCXXXX
BANCO DO BRASIL S.A,BRASUS33XXX
EUROCLEAR FRANCE SA,ESESFRPPPFE
GDF SUEZ,GSZGFRPPXXX
BANAMEX USA,CALCUS6LXXX
CHELINDBANK,CHLBRU4C735
CITIBANK CAIRO,CITIEGCXALE
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX431
FIDELITY SERVICE CO,FIDQUS3BDTH
AMI-BANK ZAO,CLJARUMMXXX
QINVEST LLC,QINVQAQAXXX
BANK SADERAT IRAN,BSIRQAQAXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXCAI
SHOKO CHUKIN BANK  LTD.  THE,SKCKJPJTXXX
FINANCIAL BROKERAGE GROUP (FBG),EFGHEGCAFBG
