bank,city,branch,swiftcode
"CHUKYO BANK, LIMITED, THE",NAGOYA,,CKBKJPJNXXX
"THE NISHI-NIPPON CITY BANK, LTD",FUKUOKA,(INTERNATIONAL DEPT.),NISIJPJTFKK
BANQUE POPULAIRE D'ALSACE,STRASBOURG,,CCBPFRPPSTR
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,DOMIAT,(DOMIAT BRANCH),BDACEGCA057
PUBLICIS FINANCE SERVICES SA,PARIS,,PUBGFRPPXXX
EGYPTIAN SAUDI FINANCE BANK,ALEXANDRIA,(ALEXANDRIA BRANCH),TAMSEGCAAZA
CREDIT DU MAROC - SUCCURSALE DE PARIS,PARIS,,CDMAFRPXXXX
BANQUE MISR,ALEXANDRIA,(AHMED ORABI BRANCH),BMISEGCX372
AIG FINANCIAL PRODUCTS CORP.,"WILTON,CT",,AIGFUS33XXX
EXPORT DEVELOPMENT BANK OF EGYPT,CAIRO,(OROUBA BRANCH),EXDEEGCXOBR
CREDIT URAL BANK OAO,MAGNITOGORSK,,CRDURU4CXXX
QATAR ISLAMIC BANK,DOHA,,QISBQAQAXXX
COFACREDIT,PARIS,,COFEFR2PXXX
BANK AUDI SARADAR FRANCE,PARIS,,AUDIFRPPXXX
ALWATANY BANK OF EGYPT,CAIRO,(MOHANDSEEN BRANCH),WABAEGCXMOH
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,"WILTON,CT",(MARKETS INC),AGIGUS33MKT
AFRICAN EXPORT IMPORT BANK,CAIRO,(HEAD OFFICE),AFXMEGCAXXX
ALNOURAN BROKERAGE AND SECURITIES,CAIRO,,NOBSEGCAXXX
EGYPTIAN INVESTOR PROTECTION FUND,CAIRO,,EIPFEGCAXXX
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",(FIDUCIARY TRUST - RECONCILIATION DEPT.),FCNYUS33EDI
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,EL MENIA,(EL MENIA BRANCH),BDACEGCA086
FAISAL ISLAMIC BANK OF EGYPT,GIZA,,FIEGEGCXMAI
HSBC CCF SECURITIES (FRANCE) S.A.,PARIS,,CEBOFRPPXXX
THALES SA,NEUILLY SUR SEINE,,TCSFFRPPXXX
JAZIRA SECURITIES BROKERAGE,CAIRO,,JAZIEGCAXXX
BANK HAPOALIM B.M.,"CHICAGO,IL",,POALUS33CHG
EGYPTIAN GULF BANK,CAIRO,(AL-AZHAR),EGGBEGCAAZH
CJSC BANK CREDIT SUISSE (MOSCOW),MOSCOW,,CRESRUMML21
COMMERZBANK AG TOKYO,TOKYO,,COBAJPJXXXX
LYXOR INTERNATIONAL ASSET MANAGEMENT,PARIS,,LIMXFRPPXXX
COMMERCIAL BANK OF MOSCOW,MOSCOW,,CBMWRUMMXXX
AMERICAN BUSINESS BANK,"LOS ANGELES,CA",,ACBBUS6LXXX
"ASSOCIATED FOREIGN EXCHANGE, INC","ENCINO,CA",,AFEIUS6LXXX
TEAM FOR STOCK EXCHANGE,ALEXANDRIA,,TESEEGALXXX
HSBC FRANCE,PARIS,,CCFRFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,HASSI-MESSAOUD,(AGENCE DE HASSI-MESSAOUD),BEXADZAL033
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE CHERAGA NAFTAL),BEXADZAL008
"CHUGOKU BANK, LTD., THE",TOKYO,,CHGKJPJTXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CDP
ODDO ET CIE,PARIS,,ODDOFRPPXXX
BANK MONETNY DOM,CHELYABINSK,,MECLRU4CXXX
BANCO BILBAO VIZCAYA ARGENTARIA,PARIS,,BBVAFRPPXXX
BANQUE D'ORSAY,PARIS,,BQORFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,BATNA,(BATNA BOUAKAL),BEXADZAL093
"JPMORGAN CHASE BANK, N.A.",PARIS,,CHASFRPBXXX
BANQUE MISR,CAIRO,,BMISEGCXGDR
DERZHAVA JSCB,MOSCOW,,DERZRUMMXXX
"NORINCHUKIN BANK, THE",TOKYO,,NOCUJPJTXXX
QATAR INTERNATIONAL ISLAMIC BANK,DOHA,,QIIBQAQAXXX
CENTRAL PACIFIC BANK,"HONOLULU,HI",,CEPBUS77XXX
FINANCIAL BROKERAGE GROUP (FBG),CAIRO,(ASSETS MANAGEMENT OPERATION),EFGHEGCAAMO
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HAI DUONG,(HAI DUONG BRANCH),BFTVVNVX034
CAIRO STOCK BROKERAGE COMPANY,CAIRO,,CSBPEGCAXXX
"CENTRAL TANSHI CO., LTD.",TOKYO,,CTRLJPJTXXX
ODDO ET CIE ENTREPRISE D'INVESTISSEMENT,PARIS,,ODDOFRCPXXX
ALEF-BANK,MOSCOW,,ALEFRUMMXXX
AL KHALIJ COMMERCIAL BANK,DOHA,(ISLAMIC BRANCH),KLJIQAQAIBB
ALLIANCEBERNSTEIN JAPAN LTD,TOKYO,,ALCAJPJXXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,CAIRO,(AL AZHER BRANCH),SBNKEGCXAZH
HSBC FRANCE,ROUBAIX,,CCFRFRPP151
"CHANG HWA COMMERCIAL BANK, LTD., LOS ANGELES BRANCH","LOS ANGELES,CA",,CCBCUS6LXXX
LA BANQUE POSTALE,PARIS,,PSSTFRPPPAR
BAC FLORIDA BANK,"MIAMI,FL",,BFLBUS3MXXX
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,,ARAIEGCXDOK
BGC SHOKEN KAISHA LIMITED,TOKYO,,CFILJPJTXXX
DELTA RASMALA SECURITIES,GIZA,,DESGEGCAXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CTI
EUROCLEAR FRANCE SA,PARIS,,ESESFRPPLE2
NATIONAL BANK OF OMAN (SAOG),CAIRO,,NBOMEGCXXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44KGO
EGYPTIAN SAUDI FINANCE BANK,AL MANSORA,(MANSORA BRANCH),TAMSEGCAMAN
MEGA INTERNATIONAL COMMERCIAL BANK CO. LTD.,PARIS,,ICBCFRPPXXX
FINANCIERE BOURBON,MARSEILLE,,FGBBFR2MXXX
BANQUE EXTERIEURE D'ALGERIE,BOUIRA,(AGENCE BOUIRA),BEXADZAL037
CHUVASHCREDITPROMBANK OAO,CHEBOKSARY,,CHVARU2CXXX
ABE CLEARING SAS/EBA CLEARING (SYSTEM OPERATOR),PARIS,,EBAPFRPSXXX
CREDIT AGRICOLE CIB TOKYO BRANCH,TOKYO,,BSUIJPJTCOM
BANQUE EXTERIEURE D'ALGERIE,GHAZAOUET,(AGENCE GHAZAOUET),BEXADZAL080
HSBC ASSET MANAGEMENT (EUROPE) SA,PUTEAUX,,HAMFFRPPXXX
"AICHI BANK, LTD., THE",NAGOYA,,AICHJPJNXXX
CHINATRUST COMMERCIAL BANK,"NEW YORK,NY",,CTCBUS33XXX
CJSC -NOMOS-BANK-SIBERIA',NOVOSIBIRSK,,NOVORU52XXX
SHINHAN BANK JAPAN,TOKYO,(HEAD OFFICE),SHBKJPJXXXX
SOCIETE MARSEILLAISE DE CREDIT,BEZIERS,,SMCTFR2ABZR
BANQUE EXTERIEURE D'ALGERIE,BISKRA,(AGENCE BISKRA),BEXADZAL056
TRASTA KOMERCBANKA,RIGA,,KBRBLV2XXXX
BANGKOK BANK PUBLIC COMPANY LTD.,TOKYO,,BKKBJPJTXXX
BANK URAL FD,PERM,(BANK - URAL FD'),JSCORU4PPRM
GLOBAL CAPITAL,CAIRO,,GLBCEGCAXXX
BALTIKA BANK ZAO,KALININGRAD,,BBNKRU2KXXX
NATIONAL BANK OF ABU DHABI,HURGHADA,(HURGHADA BRANCH),NBADEGCAHUR
BLOM BANK EGYPT S.A.E.,CAIRO,(MOHANDSEEN BRANCH),MRBAEGCX005
BANK OF JAPAN,TOKYO,(FOR JAPAN'S RESERVES USE ONLY),BOJPJPJTBJ1
ABN AMRO CAPITAL USA LLC,"NEW YORK,NY",,FTSBUS33XXX
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,"NEW YORK,NY",(AIM/POMS SERVICE),AGIGUS3WXXX
ARESBANK,MOSCOW,,ARESRUMMXXX
"BANK OF OKINAWA, LTD., THE",NAHA,,BOKIJPJZXXX
BANQUE MISR - SUCCURSALE DE PARIS,PARIS,,BMISFRPPXXX
BANQUE DE GESTION PRIVEE-SIB,PARIS,,SIBLFRPPOES
ARAB BANKING CORPORATION EGYPT,CAIRO,(GARDEN CITY BRANCH),EAABEGCX002
BOURSE DIRECT SA,PARIS,,BDIRFRPPXXX
THE LATVIA BRANCH OF BANK SNORAS,RIGA,,SNORLV22XXX
HSBC BANK MIDDLE EAST LIMITED,DOHA,,BBMEQAQXXXX
BANK OF KHANTY-MANSIYSK OAO,SURGUT,(SURGUT BRANCH),KHANRUMM005
COMMERCIAL BANK -LANTA-BANK',KRASNOYARSK,(KRASNOYARSK BRANCH),COLKRUMMKRA
MONTE PASCHI BANQUE S.A.,PARIS,,MONTFRPPXXX
EGYPTIAN GULF BANK,CAIRO,(LC'S CENTER),EGGBEGCALCS
BANQUE POPULAIRE DU SUD,PERPIGNAN,,CCBPFRPPPPG
NATIONAL INVESTMENT BANK,CAIRO,,NINBEGCAXXX
AMAN SECURITIES COMPANY,CAIRO,,AMSOEGCAXXX
DEUTSCHE SECURITIES INC.,TOKYO,(EQUITY DIVISION),DEUTJPJ9EQT
EGYPTIAN SAUDI FINANCE BANK,NORTH SINAI,(SHARM ELSHEIKH BRANCH),TAMSEGCASHM
FIA-BANK,TOGLIATTI,,FIAFRU3TXXX
NATIXIS,PARIS,,CCBPFRPPNTF
CRC MARIT MUTUEL DU LITTORAL SUD OUEST,LA ROCHELLE,,CCBPFRPP169
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",KOBE,,BOTKJPJTKOB
EGYPTIAN AMERICAN CO. FOR BROKERAGE,GIZA,,EGABEGCAXXX
"CHIBA KOGYO BANK, LTD., THE",TOKYO,,CHIKJPJTXXX
"CREDIT SUISSE AG, PARIS BRANCH",PARIS,,CRESFRPZXXX
FAISAL ISLAMIC BANK OF EGYPT,GIZA,(DOKKI BRANCH),FIEGEGCXDOK
BANQUE EXTERIEURE D'ALGERIE,BATNA,(AGENCE BATNA),BEXADZAL054
FIRST NATIONAL BANK,"FORT COLLINS,CO",(INTERNATIONAL TRADE SERVICES OFFICE),FNBOUS44FTC
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(HELWAN BRANCH),NBDEEGCXHLW
BANK NATIONAL CLEARING CENTRE,MOSCOW,,NCCBRUMMXXX
ARAB INTERNATIONAL BANK,CAIRO,(MONEY OPER. DEPT.),ARIBEGCXMOP
"SUMITOMO TRUST AND BANKING COMPANY, LTD., THE",TOKYO,(CLS CONTROL BRANCH),STBCJPJTCLS
EGYPTIAN SAUDI FINANCE BANK,CAIRO,(GARDEN CITY BRANCH),TAMSEGCACAI
ADP CLEARING AND OUTSOURCING SERVICES INC.,"NEW YORK,NY",,ADPCUS33XXX
GRAND INVESTMENT SECURITIES,GIZA,,GRICEGCAXXX
CHITAPROMSTROYBANK OAO,CHITA,,CHIJRU77XXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CTC
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",(NETWORK MANAGEMENT DEPARTMENT),GOLDUS33NET
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(EL-HARAM BRANCH),DEIBEGCX128
ABSOLUT BANK,MOSCOW,,ABSLRUMMXXX
COMMERCIAL BANK -LANTA-BANK',NOVOSIBIRSK,(NOVOSIBIRSK BRANCH),COLKRUMMNSB
QATAR NATIONAL BANK,PARIS,,QNBAFRPPXXX
SHINHAN BANK JAPAN,OSAKA,(OSAKA BRANCH),SHBKJPJXOSK
"CATHAY UNITED BANK, LOS ANGELES AGENCY DBA CUBT","LOS ANGELES,CA",,UWCBUS6LXXX
Bank or Institution,City,Branch Name,Swift Code
AL KHALIJI FRANCE S.A.,PARIS,,LICOFRPPXXX
BGFI INTERNATIONAL,PARIS,,BGFIFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE CAROUBIER NAFTAL),BEXADZAL001
BRED BANQUE POPULAIRE,PARIS,,BREDFRPP637
ECONOMIC UNION BANK,MOSCOW,,COEIRUMMXXX
BANQUE EXTERIEURE D'ALGERIE,MASCARA,(AGENCE MASCARA),BEXADZAL067
FIRST NATIONAL BANK,"GREELEY,CO",(INTERNATIONAL TRADE SERVICES OFFICE),FNBOUS44GRE
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BAC GIANG,(BAC GIANG BRANCH),BIDVVNVX431
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,AN GIANG,(AN GIANG BRANCH),BIDVVNVX701
DUBUS S.A.,LILLE,,DUBUFR2LXXX
HONEST BROKERAGE,CAIRO,,HOBREGCAXXX
SOCIETE CENTRALE DE CREDIT MARITIME MUTUEL,PARIS,,CCBPFRPPMRT
SUEZ CANAL BANK,AL OBOUR,(AL OBOUR BRANCH),SUCAEGCXOBR
BANGKOK BANK PCL,HANOI,(HANOI BRANCH),BKKBVNVXHAN
NATIONAL BANK OF ABU DHABI,PORT SAID,(PORT SAID BRANCH),NBADEGCAPSD
AZIZI BANK,KABUL,,AZBAAFKAXXX
BANK OF JAPAN,TOKYO,,BOJPJPJTXXX
EL OROUBA BROKERAGE FIRM,CAIRO,,OROUEGCAXXX
BANQUE EXTERIEURE D'ALGERIE,IN AMENAS,(AGENCE IN AMENAS),BEXADZAL092
EGYPTIAN GULF BANK,ALEXANDRIA,(ALEXANDRIA BRANCH),EGGBEGCAALX
"OSAKA CITY SHINKIN BANK, THE",OSAKA,,OSACJPJSXXX
SOCRAM BANQUE,NIORT,,SORMFR2NXXX
BANQUE MISR,CAIRO,(EL TAWFIKIA BRANCH),BMISEGCX388
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BINH DINH,(BINH DINH BRANCH),BIDVVNVX580
BANQUE DE GESTION PRIVEE-SIB,PARIS,,SIBLFRPPTRS
EGYPTIAN GULF BANK,CAIRO,(LG'S CENTER),EGGBEGCALGS
GOLDMAN SACHS ASSET MANAGEMENT,"NEW YORK,NY",,GSAMUS33XXX
"BANCO BILBAO VIZCAYA ARGENTARIA, NEW YORK","NEW YORK,NY",(GC BRANCH),BBVAUS33GCI
CORPORATE FINANCE BANK,MOSCOW,,FABARUMMXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CH2
"COMPAGNIE FINANCIERE EDMOND DE ROTHSCHILD BANQUE, LA",PARIS,,COFIFRPPXXX
BNP PARIBAS ARBITRAGE,PARIS,,BNABFRPPMOR
CAISSE DES DEPOTS ET CONSIGNATIONS,PARIS,,CDCGFRPPFRR
KABUL BANK,KABUL,,KABUAFKAXXX
CREDIT COOPERATIF,NANTERRE,,CCOPFRPPFXD
SUEZ CANAL BANK,CAIRO,(HELIOPOLIS BRANCH),SUCAEGCXHEL
CAISSE D'EPARGNE ILE DE FRANCE,PARIS,,CEPAFRPP751
"TREASURY OF THE REPUBLIC OF LATVIA, THE",RIGA,,TRELLV22XXX
CREDIT COMMERCIAL DE FRANCE,PARIS,,CCFRFRCRXXX
"DAISHI BANK LTD.,THE",TOKYO,,DAISJPJTXXX
FIRST TENNESSEE BANK N.A.,"MEMPHIS,TN",,FTBMUS44XXX
BANQUE CHAIX,AVIGNON,,CHAIFR2AXXX
CREDIT LYONNAIS,PARIS,,CRLYFRPPXXX
AHLI UNITED BANK (EGYPT) S.A.E.,ALEXANDRIA,(ALEXANDRIA BRANCH),DEIBEGCX215
AL ROWAD FOR SECURITIES BROKERAGE,GIZA,,ROADEGCAXXX
CHINFON COMMERCIAL BANK,HANOI,(HANOI BRANCH),CFCBVNVXHN1
DRESDNER BANK ZAO,MOSCOW,(MOSCOW BRANCH),DRESRU2XMOS
"FIRST COMMERCIAL BANK, LTD. NEW YORK BRANCH","NEW YORK,NY",,FCBKUS33XXX
ARAB BANK PLC,CAIRO,(EL MOKATAM BRANCH),ARABEGCXMKT
LA BANQUE POSTALE,AJACCIO,,PSSTFRPPAJA
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CAL
BNP PARIBAS LE CAIRE,CAIRO,(GARDEN CITY BRANCH),BNPAEGCXGAR
EXANE S.A.,PARIS,,EXANFRPPSTO
"STATE BANK OF INDIA, PARIS BRANCH",PARIS,,SBINFRPPXXX
BLOM BANK EGYPT S.A.E.,ALEXANDRIA,(SHATBY),MRBAEGCX013
DA AFGHANISTAN BANK,KABUL,,AFGBAFKAXXX
BANQUE BIA,PARIS,,BIARFRPPXXX
EGYPTIAN SAUDI FINANCE BANK,CAIRO,(HELIOPOLICE BRANCH),TAMSEGCAMRG
BANQUE EXTERIEURE D'ALGERIE,BEJAIA,(AGENCE BEJAIA 041),BEXADZAL041
COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,CAIRO,,CIBEEGCXXXX
BANK OF CYPRUS COMMERCIAL BANK LLC,MOSCOW,,BCYPRUMMXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,NINH THUAN,(NINH THUAN BRANCH),BIDVVNVX615
CANTOR FITZGERALD AND CO.,"NEW YORK,NY",,CANFUS33XXX
FAISAL ISLAMIC BANK OF EGYPT,AL OBOUR,(EL-OBOUR),FIEGEGCXOBR
BANQUE DE REALISATIONS DE GESTION ET DE FINANCEMENT,CLICHY,,RGFIFRPPXXX
BNP PARIBAS ARBITRAGE,PARIS,,BNABFRPPFND
INTER PARFUMS S.A,PARIS,,IPARFRPPXXX
BLOM BANK FRANCE,PARIS,,BLOMFRPPXXX
BLOM BANK EGYPT S.A.E.,SHARM EL SHEIKH,(SHARM ELSHEIKH),MRBAEGCX011
SOCIETE MARSEILLAISE DE CREDIT,TOULON,,SMCTFR2ATLN
EXANE S.A.,PARIS,,EXANFRPPXXX
"AKITA BANK, LTD.,THE",AKITA,,AKITJPJTXXX
BANQUE EXTERIEURE D'ALGERIE,BOUSAADA,(AGENCE BOUSAADA),BEXADZAL086
FAISAL ISLAMIC BANK OF EGYPT,GIZA,(INTERNATIONAL DIVISION),FIEGEGCXITD
DONINVEST COMMERCIAL BANK,ROSTOV-ON-DON,,DOCORU2RXXX
EGYPTIAN ARAB LAND BANK,EL MANSOURA,,ARLBEGCAMAN
"SUMITOMO TRUST AND BANKING COMPANY, LTD., THE",TOKYO,(SECURITIES OPERATION DEPARTMENT),STBCJPJTCUS
CREDIT-MOSCOW BANK,MOSCOW,,CRMORUMMXXX
EGYPTIAN GULF BANK,CAIRO,(HELIOPOLIS BRANCH),EGGBEGCAHEL
"SPARX ASSET MANAGEMENT CO., LTD.",TOKYO,,SPAXJPJTXXX
HANOI BUILDING COMMERCIAL JOINT STOCK BANK,HANOI,,HBBHVNVNXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44HLC
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE HYDRA SITE SONATRACH),BEXADZAL005
"GOLDMAN SACHS BANK USA (FORMERLY GOLDMAN SACHS CAPITAL MARKETS, L.P.)","NEW YORK,NY",,GSCMUS33XXX
BANQUE RHONE ALPES,GRENOBLE,,RALPFR2GXXX
HSBC FRANCE,PARIS,,CCFRFRPP024
AFGHANISTAN INTERNATIONAL BANK,KABUL,,AFIBAFKAXXX
BANK OF KHANTY-MANSIYSK OAO,TYUMEN,(TYUMEN BRANCH),KHANRUMM003
BANQUE EXTERIEURE D'ALGERIE,OUM EL BOUAGHI,(AGENCE OUM EL BOUAGHI),BEXADZAL051
THE HAMAMATSU SHINKIN BANK,SHIZUOKA,,HMSKJPJTXXX
MASRAF AL RAYAN,DOHA,,MAFRQAQAXXX
FAISAL ISLAMIC BANK OF EGYPT,CAIRO,,FIEGEGCXCAI
SOCIETE GENERALE,PARIS,,SOGEFRPPXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44OFC
FERROBANK LLC,MOSCOW,,SVIBRUMMXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(NORTHERN HANOI BRANCH),BIDVVNVX150
SOCIETE DES PAIEMENTS PASS SA,EVRY,,SOAPFR22XXX
CAPITAL SECURITIES BROKERAGE,CAIRO,,YMACEGCAXXX
PAREL,PARIS,,PAREFRPPCIB
ALLIANZ BANQUE S.A.,PARIS,,AGFBFRCCXXX
HSBC BANK PLC,PARIS,,MIDLFRCP111
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VINH PHUC,(VINH PHUC BRANCH),BIDVVNVX425
GE FACTOFRANCE,PARIS,,FACFFRPPXXX
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",(CLS),FCNYUS33MX3
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(HEAD OFFICE),ARAIEGCXXXX
BANQUE SBA,PARIS,,SBAAFRPPXXX
EXPORT DEVELOPMENT BANK OF EGYPT,6TH OF OCTOBER,(OCTOBER BRANCH),EXDEEGCXOCT
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44LPH
DRESDNER BANK ZAO,ST. PETERSBURG,,DRESRU2XXXX
COMMERZBANK AG,PARIS,,COBAFRPXXXX
"COMMERZBANK AG, PARIS BRANCH (FORMERLY DRESDNER BANK AG, PARIS BRANCH)",PARIS,,DRESFRPXXXX
AMERICAN FIRST NATIONAL BANK,"HOUSTON,TX",,AFNBUS4HXXX
ALSTOM HOLDINGS,LEVALLOIS PERRET,,ALHOFRPPXXX
BANK OF TOKYO-MITSUBISHI UFJ (EURASIA) ZAO,MOSCOW,,BOTKRUMMXXX
AL SHOROUK BROKERAGE CO.,CAIRO,,ALSHEGCAXXX
EGYPTIAN ARAB LAND BANK,LUXOR,,ARLBEGCALUX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,EL MANSOURA,(DAKAHLIA BRANCH),BDACEGCA050
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,,ARAIEGCXALF
CPI,CROISSY SUR SEINE,,CPIIFRPPXXX
"BNP PARIBAS, DOHA",DOHA,,BNPAQAQAXXX
ABBEY NATIONAL SECURITIES INC.,"STAMFORD,CT",,ANSSUS33XXX
BANK OF KHANTY-MANSIYSK OAO,NIZHNEVARTOVSK,(NIZHNEVARTOVSK BRANCH),KHANRUMM010
COMMERCIAL BANK NOYABRSKNEFTEKOMBANK,NOYABRSK,,NOYBRU5NXXX
BRED GESTION,PARIS,,BRGEFRPPXXX
"CHUO MITSUI TRUST AND BANKING CO.,LTD.,THE",TOKYO,,MTRBJPJTXXX
DVE STOLITCY KB,MOSCOW,,DVSORUMMXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,NAM DINH,(NAM DINH BRANCH),BIDVVNVX480
CAISSE D'EPARGNE COTE D'AZUR,NICE,,CEPAFRPP831
ARAB INVESTMENT BANK,CAIRO,(ZAMALEK FOR ISLAMIC OPERATION BRANCH),AINBEGCAZMK
TOTAL TREASURY,PARIS,,TTREFRPPXXX
BONNA SABLA SA,PARIS,,BONAFRPPXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,KIEN GIANG,(KIEN GIANG BRANCH),BIDVVNVX750
BANQUE EXTERIEURE D'ALGERIE,SIDI BEL ABBES,(AGENCE SIDI BEL ABBES),BEXADZAL065
ARAB BANK PLC,GIZA,(AL HARAM BRANCH),ARABEGCXHRM
ARAB BANK PLC,CAIRO,(EGYPT AREA MANAGEMENT - CAIRO),ARABEGCXXXX
CALYON,HO CHI MINH CITY,,CAINVNVXXXX
BANQUE MISR,CAIRO,(MOSTAFA KAMEL BRANCH),BMISEGCX105
BANK OF ALGERIA,ALGIERS,(SERVICES BANCAIRES ETRANGERS),BALGDZALSBE
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,CAIRO,(EL SALAAM BRANCH),DIBBEGCA0A6
MISR IRAN DEVELOPMENT BANK,6TH OF OCTOBER,(UNIVERSITY OF 6 OCTOBER BRANCH),MIDBEGCXUNV
CHINA CONSTRUCTION BANK CORPORATION TOKYO BRANCH,TOKYO,,PCBCJPJTXXX
MEGA INVESTMENTS SECURITIES,GIZA,,MISHEGCAXXX
FIRST NATIONAL BANK,"DENVER,CO",(INTERNATIONAL TRADE SERVICES OFFICE),FNBOUS44DEN
"BANCO BILBAO VIZCAYA ARGENTARIA, NEW YORK","NEW YORK,NY",(INTERNATIONAL BANKING FACILITIES DEPARTMENT),BBVAUS33IBF
SUEZ CANAL BANK,DOMIAT,(DOMIAT BRANCH),SUCAEGCXDOM
BTA - KAZAN BANK,KAZAN,,BTKZRU2KXXX
TADAWOL SECURITIES BROKERAGE CO.,CAIRO,,TADLEGCAXXX
BANQUE EXTERIEURE D'ALGERIE,BEJAIA,(AGENCE DE BEJAIA),BEXADZAL040
THE UNITED BANK,CAIRO,,UBOEEGCXXXX
EGYPTIAN SAUDI FINANCE BANK,6TH OF OCTOBER,(6TH OCTOBER BRANCH),TAMSEGCAOCT
ARAB INTERNATIONAL BANK,CAIRO,(TAHRIR BRANCH),ARIBEGCX003
FAISAL ISLAMIC BANK OF EGYPT,EL MAHALA EL KOBRA,(EL MAHALA AL KOBRA BRANCH),FIEGEGCXMHL
BANK SEPAH,PARIS,,SEPBFRPPXXX
ARAB INVESTMENT BANK,CAIRO,(KORNISH BRANCH),AINBEGCAKOR
"THE BANK OF NEW YORK MELLON, TOKYO BRANCH",TOKYO,,IRVTJPJXXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HAI DUONG,(HAI DUONG BRANCH),BIDVVNVX460
ACCEPT CB OAO,NOVOSIBIRSK,,AJSCRU55XXX
FIDELITY SERVICE CO,"BOSTON,MA",,FIDQUS3PXXX
FIRSTMERIT BANK N.A.,"AKRON,OH",,FNBAUS3AXXX
LA BANQUE POSTALE,PARIS,,PSSTFRPPCNE
MISR IRAN DEVELOPMENT BANK,GIZA,,MIDBEGCXXXX
EUROPEENE DE GESTION PRIVEE,TOULOUSE,,EUGPFR22TOL
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(EL DJAZAIR),BEXADZAL101
EASTBRIDGE BANK,MOSCOW,,EBRIRUMMXXX
CHICAGO MERCANTILE EXCHANGE,"CHICAGO,IL",,XCMEUS4CXXX
BANCA IMI SECURITIES CORP.,"NEW YORK,NY",,BIMIUS33XXX
LAZARD FRERES BANQUE,PARIS,,LAZPFRCCXXX
ENERGOTRANSBANK,KALININGRAD,,ENGORU2KXXX
SUEZ CANAL BANK,EL MENIA,(EL MENIA BRANCH),SUCAEGCXMEN
"MCSD MISR FOR CLEARING,DEPOSITORY AND REGISTRY",CAIRO,,MCSDEGCAXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE RAVIN),BEXADZAL095
STATE BANK OF INDIA,TOKYO,,SBINJPJTXXX
EXPORT DEVELOPMENT BANK OF EGYPT,CAIRO,(DOKKI MOSADAK BRANCH),EXDEEGCXDOK
CJSC BANK CREDIT SUISSE (MOSCOW),MOSCOW,,CRESRUMMXXX
MIZUHO CORPORATE BANK LTD. PARIS BRANCH,PARIS,,MHCBFRPPXXX
